"","touch.1.cue","touch.2.cues","touch.3.cues","touch.4.cues","success.time","first.cue.time","second.cue.time","third.cue.time","fourth.cue.time","total.cue.time","time.until.lid.exploring","lid.exploring.time","lid.exploring.times"
"touch.1.cue",1,0.990107185261153,0.95933610563206,0.934444764243048,0.558037902576181,-0.384255406863982,-0.360203938153163,-0.481285041423866,0.506275745699743,-0.670843850828181,0.357192307923517,-0.256000630924063,-0.227426847731028
"touch.2.cues",0.990107185261153,1,0.985611824544436,0.960047290464231,0.573759652669914,-0.366230208871904,-0.436547964667039,-0.490230556047447,0.495293899667659,-0.71457997754322,0.296337258923254,-0.226809990778107,-0.153508967694985
"touch.3.cues",0.95933610563206,0.985611824544436,1,0.981303804921983,0.612410002681918,-0.389621177469766,-0.420962565585335,-0.477925939175391,0.427021897615295,-0.723194430977047,0.243035400863892,-0.216041561478695,-0.0841451946454801
"touch.4.cues",0.934444764243048,0.960047290464231,0.981303804921983,1,0.753109019507549,-0.405690244821169,-0.392981906820209,-0.498090838776468,0.289259175942675,-0.736081647054144,0.193011990651275,-0.284298748638812,-0.133366598286452
"success.time",0.558037902576181,0.573759652669914,0.612410002681918,0.753109019507549,1,-0.335080424662847,-0.175084888190785,-0.409448397061602,-0.272563887717851,-0.550770445956365,-0.0384224449963693,-0.428270078844436,-0.258211991688104
"first.cue.time",-0.384255406863982,-0.366230208871904,-0.389621177469766,-0.405690244821169,-0.335080424662847,1,-0.270528622743482,-0.138595504219356,-0.183955039040672,0.498770847378595,-0.206988840107325,0.25736965323392,-0.145366127249788
"second.cue.time",-0.360203938153163,-0.436547964667039,-0.420962565585335,-0.392981906820209,-0.175084888190785,-0.270528622743482,1,0.470058974150401,-0.358903846610586,0.630488284075483,0.277488634397007,-0.290961872182546,-0.246423077261991
"third.cue.time",-0.481285041423866,-0.490230556047447,-0.477925939175391,-0.498090838776468,-0.409448397061602,-0.138595504219356,0.470058974150401,1,-0.0711995457916001,0.584071042260058,0.111168809625192,0.010488275494347,0.0593909428696287
"fourth.cue.time",0.506275745699743,0.495293899667659,0.427021897615295,0.289259175942675,-0.272563887717851,-0.183955039040672,-0.358903846610586,-0.0711995457916001,1,-0.321799892794802,0.149766282102839,0.209883126044308,0.0481388784862158
"total.cue.time",-0.670843850828181,-0.71457997754322,-0.723194430977047,-0.736081647054144,-0.550770445956365,0.498770847378595,0.630488284075483,0.584071042260058,-0.321799892794802,1,0.0913609182978128,0.0154761782883519,-0.2545217705689
"time.until.lid.exploring",0.357192307923517,0.296337258923254,0.243035400863892,0.193011990651275,-0.0384224449963693,-0.206988840107325,0.277488634397007,0.111168809625192,0.149766282102839,0.0913609182978128,1,-0.660662727871868,-0.633772438912967
"lid.exploring.time",-0.256000630924063,-0.226809990778107,-0.216041561478695,-0.284298748638812,-0.428270078844436,0.25736965323392,-0.290961872182546,0.010488275494347,0.209883126044308,0.0154761782883519,-0.660662727871868,1,0.765713205644409
"lid.exploring.times",-0.227426847731028,-0.153508967694985,-0.0841451946454801,-0.133366598286452,-0.258211991688104,-0.145366127249788,-0.246423077261991,0.0593909428696287,0.0481388784862158,-0.2545217705689,-0.633772438912967,0.765713205644409,1
